District,Month,Visitors,Year,Season
Adilabad,1,621850,2020,Winter
Adilabad,2,29421,2020,Winter
Adilabad,3,9430,2020,Summer
Adilabad,6,1909,2020,Monsoon
Adilabad,7,549,2020,Monsoon
Adilabad,8,654,2020,Monsoon
Adilabad,9,3978,2020,Monsoon
Adilabad,10,15128,2020,Autumn
Adilabad,11,27525,2020,Autumn
Adilabad,12,61403,2020,Winter
Bhadradri Kothagudem ,1,269310,2020,Winter
Bhadradri Kothagudem ,2,238140,2020,Winter
Bhadradri Kothagudem ,3,79871,2020,Summer
Bhadradri Kothagudem ,6,15399,2020,Monsoon
Bhadradri Kothagudem ,7,15130,2020,Monsoon
Bhadradri Kothagudem ,8,26350,2020,Monsoon
Bhadradri Kothagudem ,9,30957,2020,Monsoon
Bhadradri Kothagudem ,10,49203,2020,Autumn
Bhadradri Kothagudem ,11,76900,2020,Autumn
Bhadradri Kothagudem ,12,80842,2020,Winter
Hyderabad,1,1157153,2020,Winter
Hyderabad,2,868641,2020,Winter
Hyderabad,3,321650,2020,Summer
Hyderabad,9,21861,2020,Monsoon
Hyderabad,10,167510,2020,Autumn
Hyderabad,11,272276,2020,Autumn
Hyderabad,12,442895,2020,Winter
Jagtial ,1,340174,2020,Winter
Jagtial ,2,186484,2020,Winter
Jagtial ,3,347014,2020,Summer
Jagtial ,6,14228,2020,Monsoon
Jagtial ,7,41752,2020,Monsoon
Jagtial ,8,34496,2020,Monsoon
Jagtial ,9,83012,2020,Monsoon
Jagtial ,10,83004,2020,Autumn
Jagtial ,11,154438,2020,Autumn
Jagtial ,12,155757,2020,Winter
Jangaon ,1,28150,2020,Winter
Jangaon ,2,26390,2020,Winter
Jangaon ,3,21430,2020,Summer
Jangaon ,7,2600,2020,Monsoon
Jangaon ,8,2750,2020,Monsoon
Jangaon ,9,2700,2020,Monsoon
Jangaon ,10,3050,2020,Autumn
Jangaon ,11,12070,2020,Autumn
Jangaon ,12,11860,2020,Winter
Jayashankar Bhoopalpally,1,50500,2020,Winter
Jayashankar Bhoopalpally,2,59000,2020,Winter
Jayashankar Bhoopalpally,3,34200,2020,Summer
Jayashankar Bhoopalpally,7,5600,2020,Monsoon
Jayashankar Bhoopalpally,8,7000,2020,Monsoon
Jayashankar Bhoopalpally,9,7600,2020,Monsoon
Jayashankar Bhoopalpally,10,8000,2020,Autumn
Jayashankar Bhoopalpally,11,15000,2020,Autumn
Jayashankar Bhoopalpally,12,15200,2020,Winter
Jogulamba Gadwal ,1,146441,2020,Winter
Jogulamba Gadwal ,2,481110,2020,Winter
